841083751 0 150297
851360554 0 242795
865522753 0 257184
874959747 0 259349
892842764 0 293342
901204674 0 293546
919444299 0 303631
953329619 0 334773
986584471 0 359693
1005674166 0 398191
1026915011 0 431601
1090934958 0 500650
1100036245 0 500831
1133964492 0 525611
1160489734 0 543282
1227014112 0 543984
1231767388 0 735507
1235082089 0 809735
1321926552 490 809735
1321926679 51276 809735
1321927036 51325 809735
1322007086 157938 809735
1322008298 157938 809735
1322009984 157947 809735
1322009992 157952 809735
1322010002 158017 809735
1322010010 158019 809735
1322010019 158047 809735
1322010031 158049 809735
1322010041 158051 809735
1322010047 158058 809735
1322010053 158070 809735
1322010060 158074 809735
1322010149 158080 809735
1322010155 158141 809735
1322010161 158146 809735
1322010166 158148 809735
1322010176 158163 809735
1322010183 158165 809735
1322010189 158172 809735
1322010196 158179 809735
1322010203 158185 809735
1322010209 158188 809735
1331665862 158191 809735
1331665903 158194 809735
1331665927 158201 809735
1331665946 158204 809735
1336422169 158223 809735
1336422186 158227 809735
1336422198 158229 809735
1336422219 158240 809735
1338491505 158427 809735
1341927819 158467 809735
1341927837 158476 809735
1341927847 158487 809735
1341927857 158491 809735
1341927872 158495 809735
1341927883 158503 809735
1341927894 158511 809735
1342532895 158543 809735
1351864739 158545 809735
1351865180 158556 809735
1357865274 158561 809735
1357865297 158566 809735
1357865596 158793 809735
1362687658 158807 809735
1362687705 158821 809735
1362687734 158832 809735
1393378610 158832 809735
1393425403 288733 809735
1396021967 288737 809735
1396021982 288742 809735
1396022000 288745 809735
1396022010 290111 809735
1396022024 290114 809735
1396022045 290116 809735
1396022059 290122 809735
1396022085 290158 809735
1397228666 290161 809735
1397228705 290208 809735
1397228731 290211 809735
1400264243 290213 809735
1400264258 290221 809735
1400264276 290254 809735
1400264295 290264 809735
1400264319 290316 809735
1400264337 290318 809735
1400264360 290320 809735
1406921433 290335 809735
1406921448 290344 809735
1406921461 290346 809735
1406921474 290357 809735
1408376712 290368 809735
1408376731 290376 809735
1411649107 290398 809735
1411765250 290403 809735
1411873085 290464 809735
1412255241 290703 809735
1412304619 290706 809735
1412550740 290916 809735
1421335204 296313 809735
1421335245 296317 809735
1421335268 296367 809735
1432061702 296377 809735
1432061727 296382 809735
1432061737 296389 809735
1432061751 296392 809735
1432064979 296405 809735
1432064991 296413 809735
1439494697 296415 809735
1439494711 296431 809735
1439494722 296436 809735
1466450043 296447 809735
1466450060 296449 809735
1466450072 296454 809735
1466450089 296463 809735
1473973148 424994 809735
1479151611 425000 809735
1479151626 425009 809735
1479151643 425019 809735
1479151655 425037 809735
1479151675 425038 809735
